smalux - 现代 Rust SSH 终端工作台	smalux - Modern Rust SSH Terminal Workbench
主机	Hosts
主机管理	Hosts
主机资产	Host Assets
远程主机资产 (Remote Hosts)	Remote Host Assets (Remote Hosts)
远程主机资产 (Remote SSH Hosts)	Remote Host Assets (Remote SSH Hosts)
远程主机资产 (Remote SFTP Hosts)	Remote Host Assets (Remote SFTP Hosts)
本地终端环境 (Local Shells)	Local Shell Environments (Local Shells)
本地文件系统 (Local Filesystem)	Local Filesystem
凭据管理	Credentials
凭据保管	Credentials
凭据保管箱	Credentials Vault
代码片段	Snippets
代码片段库	Snippets Library
常用代码片段库	Snippets Library
网络与隧道	Tunnels
网络隧道	Tunnels
网络与隧道中心	Network & Tunnels Hub
连接历史	History
连接历史中心	Connection History Hub
历史记录	History
文件管理	File Manager
文件管理器	File Explorer
偏好设置	Preferences
偏好设置中心	Preferences Center
会话	Sessions
系统监控	System Monitor
主机实时监控	Live Host Monitor
开发者调试控制台	Developer Debug Console
开发者调试控制台 (Developer Debug Panel)	Developer Debug Console (Developer Debug Panel)
开发者调试工作台 (Workbench)	Developer Debug Workbench
新建	New
+ 新建	+ New
+ 新建规则	+ New Rule
+ 立即录入	+ Add Now
保存	Save
保存修改	Save Changes
保存配置	Save Config
保存并创建	Save & Create
保存并立即重启	Save & Restart Now
保存 (下次生效)	Save (Applies Next Run)
取消	Cancel
确定	OK
确认	Confirm
确定选定	Select
确认创建	Create
编辑	Edit
编辑中	Editing
删除	Delete
重命名	Rename
刷新	Refresh
刷新目录	Refresh Directory
复制	Copy
复制成功	Copied
已复制 ✓	Copied ✓
复制 IP	Copy IP
复制参数	Copy Arguments
复制完整路径	Copy Full Path
复制密码	Copy Password
复制私钥	Copy Private Key
复制公钥	Copy Public Key
复制管道	Copy Pipe
复制快照	Copy Snapshot
复制选中文本	Copy Selected Text
复制 SSH 命令	Copy SSH Command
复制 ProxyJump 命令	Copy ProxyJump Command
复制代理连接串	Copy Proxy Connection String
已复制代理环境变量配置	Proxy environment variables copied
已复制 OpenSSH ProxyJump 参数	OpenSSH ProxyJump arguments copied
已复制出网代理连接串	Outbound proxy connection string copied
已复制公钥	Public key copied
已复制私钥	Private key copied
已复制指纹	Fingerprint copied
公钥指纹已复制至剪贴板	Public key fingerprint copied to clipboard
SSH 公钥已复制至剪贴板	SSH public key copied to clipboard
私钥文本已成功复制至系统剪贴板	Private key text copied to clipboard
粘贴	Paste
粘贴剪贴板内容	Paste Clipboard Content
清屏	Clear Screen
清空	Clear
清空历史	Clear History
清空日志	Clear Logs
清空已完成	Clear Completed
清空全量数据	Clear All Data
清空所有片段	Clear All Snippets
清空所有凭据	Clear All Credentials
关闭	Close
全选	Select All
全部	All
提示	Notice
警告	Warning
错误	Error
失败	Failed
成功	Success
在线	Online
离线	Offline
全在线	All Online
全离线	All Offline
全告警	All Warning
全部在线	All Online
全部离线	All Offline
全部告警	All Warning
活跃中	Active
运行中	Running
已停止	Stopped
已完成	Completed
传输中	Transferring
空闲	Idle
进行中	In Progress
已挂起 / 停止	Suspended / Stopped
认证失败	Auth Failed
连接超时	Timed Out
异常中断	Aborted
正常退出	Exited Normally
禁止	Forbidden
移动	Move
无效	Invalid
无匹配	No Match
展开并显示	Expand & Show
收起并隐藏	Collapse & Hide
搜索...	Search...
搜索主机 (支持名称 / IP / 分组)...	Search hosts (name / IP / group)...
搜索主机、IP或分组...	Search hosts, IP, or group...
搜索本地终端或远程主机 (支持名称 / IP / 分组)...	Search local terminals or remote hosts (name / IP / group)...
搜索凭据...	Search credentials...
搜索凭据名称、用户名、指纹...	Search credential name, username, fingerprint...
搜索代码片段、脚本或分组...	Search snippets, scripts, or groups...
搜索代码片段、脚本或文件夹...	Search snippets, scripts, or folders...
搜索片段...	Search snippets...
搜索隧道、端口、目标主机...	Search tunnels, ports, target hosts...
搜索全部配置项 (字体、壁纸、心跳、备份、快捷键...)	Search preferences (font, wallpaper, keepalive, backup, keys...)
输入主机名、命令或 > 执行操作 (Esc 退出)...	Type host name, command, or > for actions (Esc to exit)...
按 ↑↓ 导航  |  Enter 确认  |  Esc 关闭	↑↓ to navigate  |  Enter to confirm  |  Esc to close
请尝试其他搜索关键词	Please try different search keywords
请尝试输入其他主机名称、IP 或用户名	Try typing another host name, IP, or username
未找到匹配的主机连接记录	No matching host connection records found
未找到匹配的本地终端或远程主机	No matching local terminals or remote hosts found
未找到匹配的历史记录	No matching history records found
未找到匹配的凭据记录	No matching credential records found
未找到匹配的远程主机	No matching remote hosts found
暂无历史连接记录	No connection history yet
暂无连接记录	No connection records
暂无连接历史	No connection history
暂无凭据记录	No credential records
暂无已保存凭据	No saved credentials yet
暂无实时诊断日志事件	No live diagnostic log events
暂无终端屏幕输出快照	No terminal screen output snapshot
暂无主机资产，请先在主机面板中添加主机	No host assets yet. Please add a host in the hosts panel first
暂无文件传输任务 (直接拖拽左/右侧文件或目录即可触发实时上传/下载)	No active transfers (drag and drop files/folders to trigger upload/download)
在「主机」页面双击主机发起远程连接后将自动记录	Double-click a host on the Hosts page to connect; records will appear here
在「主机管理」中双击任意远程主机发起连接后，将自动在此沉淀连接足迹	Connect to any remote host in Host Management to log connection history here
💡 提示：点击任意条目即可快速创建并激活新终端会话	Tip: Click any item to quickly create and activate a new terminal session
💡 提示：点击任意远程主机即可自动建立 SFTP 会话并打开文件管理	Tip: Click any remote host to automatically open SFTP file management
新建主机	New Host
新建分组	New Group
新建主机分组	New Host Group
主机名称:	Host Name:
主机名:	Host Name:
主机名称	Host Name
IP 地址:	IP Address:
SSH 端口:	SSH Port:
所属上级分组:	Parent Group:
选择所属上级分组	Select Parent Group
选取上级	Select Parent
新分组名称:	New Group Name:
请输入分组名称，例如: 微服务集群、测试数据库...	Enter group name, e.g. Microservices, Test Database...
根目录 (作为顶级分组)	Root Directory (Top-level Group)
当前: 顶级根目录	Current: Top-level Root
当前: 子分组	Current: Subgroup
已选: 	Selected: 
尚未选择主机	No host selected
未命名主机	Unnamed Host
台	hosts
台主机	hosts
主机数: 	Hosts: 
 | 可见节点: 	 | Visible Nodes: 
共 	Total 
全部主机列表	All Hosts List
树形层级视图	Hierarchical Tree View
展开可见节点	Expanded Visible Nodes
移入此分组	Move into this group
移至根目录 (顶级)	Move to root (Top-level)
移至根目录 (未分组)	Move to root (Ungrouped)
